"GEOID","NAME","variable","estimate","moe","geometry"
"516003002003","Block Group 3; Census Tract 3002; Fairfax city; Virginia","B19013_001",157361,81223,list(list(c(-77.307415, -77.307524, -77.303792, -77.30233, -77.298839, -77.298803, -77.295333, -77.293832, -77.298052, -77.299274, -77.300218, -77.303747, -77.304036, -77.306605, -77.306567, -77.307865, -77.307415, 38.856564, 38.858192, 38.859514, 38.857753, 38.85925, 38.857528, 38.85414, 38.854157, 38.85157, 38.850027, 38.848415, 38.846271, 38.845649, 38.846259, 38.849656, 38.850652, 38.856564)))
"516003002002","Block Group 2; Census Tract 3002; Fairfax city; Virginia","B19013_001",175469,65276,list(list(c(-77.303792, -77.299447, -77.293578, -77.288802, -77.274887, -77.278507, -77.285285, -77.293832, -77.295333, -77.298803, -77.298839, -77.30233, -77.303792, 38.859514, 38.860904, 38.862063, 38.862946, 38.864616, 38.860997, 38.858682, 38.854157, 38.85414, 38.857528, 38.85925, 38.857753, 38.859514)))
"516003005002","Block Group 2; Census Tract 3005; Fairfax city; Virginia","B19013_001",144333,42224,list(list(c(-77.304036, -77.29992, -77.296688, -77.296735, -77.296731, -77.297162, -77.302284, -77.301326, -77.303067, -77.303962, -77.303357, -77.301675, -77.304036, 38.845649, 38.844758, 38.844357, 38.837314, 38.835974, 38.834984, 38.83534, 38.833103, 38.832822, 38.836081, 38.842089, 38.843896, 38.845649)))
"516003002001","Block Group 1; Census Tract 3002; Fairfax city; Virginia","B19013_001",79750,21793,list(list(c(-77.297726, -77.29607, -77.295117, -77.291461, -77.291659, -77.28507, -77.27415, -77.274887, -77.288802, -77.293578, -77.296276, -77.297726, 38.867022, 38.869655, 38.868687, 38.868241, 38.867498, 38.86705, 38.86631, 38.864616, 38.862946, 38.862063, 38.864728, 38.867022)))
"516003003001","Block Group 1; Census Tract 3003; Fairfax city; Virginia","B19013_001",88333,15128,list(list(c(-77.298052, -77.293832, -77.285285, -77.278507, -77.274887, -77.27415, -77.270597, -77.26994, -77.268929, -77.269523, -77.275755, -77.275585, -77.275938, -77.278877, -77.285262, -77.287539, -77.290507, -77.293863, -77.299274, -77.298052, 38.85157, 38.854157, 38.858682, 38.860997, 38.864616, 38.86631, 38.866075, 38.86504, 38.862795, 38.861766, 38.860356, 38.859651, 38.857517, 38.853282, 38.851691, 38.851501, 38.850943, 38.851592, 38.850027, 38.85157)))
"516003004002","Block Group 2; Census Tract 3004; Fairfax city; Virginia","B19013_001",96769,36033,list(list(c(-77.334798, -77.333327, -77.323926, -77.319171, -77.321824, -77.325298, -77.331247, -77.330461, -77.331558, -77.334822, -77.334798, 38.853832, 38.85642, 38.852657, 38.850689, 38.846058, 38.846287, 38.847333, 38.848879, 38.851746, 38.851492, 38.853832)))
"516003005003","Block Group 3; Census Tract 3005; Fairfax city; Virginia","B19013_001",116442,36671,list(list(c(-77.31204, -77.309169, -77.308765, -77.307011, -77.306605, -77.304036, -77.301675, -77.303357, -77.303962, -77.307859, -77.308049, -77.311862, -77.31204, 38.837916, 38.842085, 38.84284, 38.845114, 38.846259, 38.845649, 38.843896, 38.842089, 38.836081, 38.835742, 38.83688, 38.836782, 38.837916)))
"516003003002","Block Group 2; Census Tract 3003; Fairfax city; Virginia","B19013_001",117031,22240,list(list(c(-77.285262, -77.278877, -77.275938, -77.275585, -77.275755, -77.269523, -77.268929, -77.268919, -77.268727, -77.269809, -77.269006, -77.270451, -77.271744, -77.269977, -77.27052, -77.278598, -77.282529, -77.282312, -77.282823, -77.286611, -77.285262, 38.851691, 38.853282, 38.857517, 38.859651, 38.860356, 38.861766, 38.862795, 38.862775, 38.859563, 38.855593, 38.852302, 38.851353, 38.848488, 38.843339, 38.840902, 38.841977, 38.842462, 38.847733, 38.849822, 38.848552, 38.851691)))
"516003004001","Block Group 1; Census Tract 3004; Fairfax city; Virginia","B19013_001",156827,28965,list(list(c(-77.325298, -77.321824, -77.319171, -77.308216, -77.311779, -77.312074, -77.314988, -77.316477, -77.316488, -77.308765, -77.309169, -77.310779, -77.312203, -77.318751, -77.322692, -77.325298, 38.846287, 38.846058, 38.850689, 38.846608, 38.846599, 38.845518, 38.845457, 38.846146, 38.845005, 38.84284, 38.842085, 38.842701, 38.840471, 38.841578, 38.843196, 38.846287)))
"516003001004","Block Group 4; Census Tract 3001; Fairfax city; Virginia","B19013_001",170037,116379,list(list(c(-77.322626, -77.321732, -77.315658, -77.311597, -77.311593, -77.318257, -77.318799, -77.319521, -77.322187, -77.322626, 38.856959, 38.860731, 38.859867, 38.859435, 38.856798, 38.854252, 38.854898, 38.855114, 38.854414, 38.856959)))
"516003002004","Block Group 4; Census Tract 3002; Fairfax city; Virginia","B19013_001",208450,51794,list(list(c(-77.307546, -77.304754, -77.303139, -77.297607, -77.292264, -77.290699, -77.291461, -77.295117, -77.29607, -77.297726, -77.296276, -77.293578, -77.299447, -77.303792, -77.307524, -77.307546, 38.863178, 38.863383, 38.869208, 38.870404, 38.871586, 38.870997, 38.868241, 38.868687, 38.869655, 38.867022, 38.864728, 38.862063, 38.860904, 38.859514, 38.858192, 38.863178)))
"516003001001","Block Group 1; Census Tract 3001; Fairfax city; Virginia","B19013_001",126761,97491,list(list(c(-77.326335, -77.323306, -77.32261, -77.317242, -77.314268, -77.311402, -77.308768, -77.307546, -77.307524, -77.307415, -77.311593, -77.311597, -77.315658, -77.321732, -77.324152, -77.326335, 38.862334, 38.864629, 38.865947, 38.866901, 38.867003, 38.86659, 38.864826, 38.863178, 38.858192, 38.856564, 38.856798, 38.859435, 38.859867, 38.860731, 38.861112, 38.862334)))
"516003001003","Block Group 3; Census Tract 3001; Fairfax city; Virginia","B19013_001",98824,24425,list(list(c(-77.333242, -77.328813, -77.328788, -77.32261, -77.323306, -77.326335, -77.324152, -77.321732, -77.322626, -77.322187, -77.319521, -77.318799, -77.318257, -77.320522, -77.323926, -77.333327, -77.333242, 38.856571, 38.863893, 38.864848, 38.865947, 38.864629, 38.862334, 38.861112, 38.860731, 38.856959, 38.854414, 38.855114, 38.854898, 38.854252, 38.853344, 38.852657, 38.85642, 38.856571)))
"516003005001","Block Group 1; Census Tract 3005; Fairfax city; Virginia","B19013_001",128472,64605,list(list(c(-77.296688, -77.282529, -77.278598, -77.278535, -77.286078, -77.28647, -77.287257, -77.288295, -77.296735, -77.296688, 38.844357, 38.842462, 38.841977, 38.840676, 38.841721, 38.838617, 38.836122, 38.836235, 38.837314, 38.844357)))
"516003003003","Block Group 3; Census Tract 3003; Fairfax city; Virginia","B19013_001",127669,48892,list(list(c(-77.303747, -77.300218, -77.299274, -77.293863, -77.290507, -77.287539, -77.285262, -77.286611, -77.282823, -77.282312, -77.282529, -77.296688, -77.29992, -77.304036, -77.303747, 38.846271, 38.848415, 38.850027, 38.851592, 38.850943, 38.851501, 38.851691, 38.848552, 38.849822, 38.847733, 38.842462, 38.844357, 38.844758, 38.845649, 38.846271)))
"516003004003","Block Group 3; Census Tract 3004; Fairfax city; Virginia","B19013_001",165116,109679,list(list(c(-77.318751, -77.312203, -77.310779, -77.309169, -77.31204, -77.311862, -77.311923, -77.316224, -77.318693, -77.318751, 38.841578, 38.840471, 38.842701, 38.842085, 38.837916, 38.836782, 38.835708, 38.836408, 38.835172, 38.841578)))
"516003001002","Block Group 2; Census Tract 3001; Fairfax city; Virginia","B19013_001",176296,66237,list(list(c(-77.320522, -77.318257, -77.311593, -77.307415, -77.307865, -77.306567, -77.306605, -77.308216, -77.319171, -77.323926, -77.320522, 38.853344, 38.854252, 38.856798, 38.856564, 38.850652, 38.849656, 38.846259, 38.846608, 38.850689, 38.852657, 38.853344)))
